bid,title,author,category,status
1,Steve Jobs,Walter Issacson,Biography,issued
2,Discovery of India,Jawaharlal Nehru,History,issued
3,My Experiments with Truth,Mahatma Gandhi,Autobiography,issued
4,Object Oriented Programming with C++,E Balagurusamy,Education,issued
5,Thinking with type,Ellen Lupton,Arts,issued
6,The Photographer's,Lindsay Adler,Photography,issued
7,Think and Grow,Napoleon Hill,Economics,issued
8,The Fifth Discipline : The Art,Peter M.Senge,Management,issued
9,A Theory of Justice,John Rawls,Law,issued
10,Eat to Live,Joel Fuhrman,Health,issued
11,City of Heavenly Fire,Cassandra Clare,Fiction,issued
12,Da Vinci Code,Dan Brown,Fiction,issued
13,War and Peace,Leo Tolstoy,Philosophical fiction,issued
14,Python For All,John Shovic,Education,issued
15,Automate The Boring Stuff With Python,Al Sweigart,Education,issued
16,Wings Of Fire,APJ Abdul Kalam,Autobiography,available
17,Ikigai,Hector Garcia,Personal Development,available
18,Who Will Cry When You Will Die,Robin Sharma,Personal Development,available
19,Rich Dad Poor Dad,Robert T. Kiyosaki,Business,available
20,Immortals of Meluha,Amish Tirpathi,High Fantasy,available
21,A Brief History Of Time,Stephen Hawking,SPACE,available
22,I Know Why The Cage Bird Sings,Maya Anguelo,Story,available
23,Lord Of Files,William Golding,Fiction,available
24,Loara Dune,R. D Blackmore,Fiction,available
25,Jamacia Inn,Daphne,Fiction,available
26,Kidnapped,Robert Louis,Fiction,available
27,Treasure Island,Robert Louis,Fiction,available
28,The Call Of Wild,Jack London,Fiction,available
29,Charlottes Web,E. B White,Fiction,available
30,The Wind In Willows,Kenneth Grahame,Fiction,available
31,Being and Time,Martin Heldegger,Philosophy,available
32,The Republic,Rocha Pereia,Philosophy,available
33,Critique For Pure Reason,Paul Guyer,Philosophy,available
34,The Prince,Rufus Godwin,Philosophy,available
35,Ethics,Stuart Hampshire,Philosophy,available
36,Long Walk To Freedom,Nelson Mandela,Autobiography,available
37,The Stroy Of My Experiments With Truth,Mahatma Gandhi,Autobiography,available
38,The Dairy Of Young Girl,Anne Frank,Autobiography,available
39,Mark Twain,Mark Twain,Autobiography,available
40,Mein Kampf,Adolf Hitler,Autobiography,available